step,root mean square deviation [a0],HF energy [eV],MP2 energy [eV],CCSD energy [eV]
0,0,-36373.45078604579,-36393.93622064307,-36394.03394955449
1,0.3286480243447587,-36376.16615912654,-36396.30210618886,-36396.42792183743
2,0.657296048689522,-36377.181166413844,-36397.119671530876,-36397.25681993041
3,0.9859440730342832,-36377.41026256347,-36397.22211689226,-36397.36385997447
4,1.3145920973790424,-36377.30004412739,-36397.02293218521,-36397.165861010675
5,1.6432401217238035,-36377.0636395207,-36396.72020269974,-36396.862701141
6,1.9718881460685669,-36376.7997443717,-36396.40579573382,-36396.5472886093
7,2.3005361704133205,-36376.55084983686,-36396.11874035814,-36396.25921283236
8,2.629184194758082,-36376.33217652721,-36395.87152035129,-36396.01119272743
9,2.957832219102845,-36376.146448168285,-36395.66406075458,-36395.803209892336
10,3.2864802434476044,-36375.99123273546,-36395.491587218174,-36395.63044623041
11,3.6151282677923655,-36375.862330998665,-36395.3485311366,-36395.487249294296
12,3.943776292137129,-36375.75528197795,-36395.22987872142,-36395.368525690996
13,4.272424316481888,-36375.66603826141,-36395.131388823924,-36395.269978268094
14,4.601072340826648,-36375.59123198138,-36395.049505888644,-36395.18803489437
15,4.929720365171411,-36375.5281917211,-36394.98136976162,-36395.11977707936
16,5.25836838951617,-36375.47481944364,-36394.924532917204,-36395.0627638172
17,5.587016413860927,-36375.42943335843,-36394.87689634751,-36395.01492942951
18,5.91566443820569,-36375.39064667272,-36394.836759166545,-36394.974554219865
19,6.244312462550448,-36375.357302556884,-36394.802675688596,-36394.94020258788
20,6.57296048689521,-36375.32844591792,-36394.773428986635,-36394.91069673261
21,6.901608511239972,-36375.30330521404,-36394.7481313873,-36394.885141809165
22,7.230256535584731,-36375.2812702671,-36394.72609646937,-36394.86285424843
23,7.558904559929492,-36375.26186297125,-36394.70681036963,-36394.84332001571
