step,root mean square deviation [a0],relative energy [eV]
0,0,0
1,1.262482069936577,-1.011182723148827
2,2.524964139873154,-1.3428038396780184
3,3.787446209809732,-1.3918486108961599
4,5.049928279746308,-1.3455269564794397
5,6.312410349682885,-1.2835877447183914
6,7.574892419619463,-1.2192822386131184
7,8.83737448955604,-1.1735768377430955
8,10.099856559492617,-1.126367624808344
9,11.362338629429194,-1.0962927356182595
10,12.624820699365772,-1.091425194868102
11,13.887302769302348,-1.0786499206967437
12,15.149784839238928,-1.076921657178686
13,16.412266909175504,-1.0838895766471495
14,17.67474897911208,-1.088373664048982
