step,root mean square deviation [a0],HF energy [eV],MP2 energy [eV],CCSD energy [eV]
0,0,-33336.53591642207,-33349.43405372341,-33349.76477273982
1,0.36972901769714783,-33339.68267105571,-33352.22998848318,-33352.60148449844
2,0.7394580353942914,-33340.748281055276,-33353.11287982091,-33353.50063515004
3,1.1091870530914392,-33340.91236024768,-33353.16560884988,-33353.561831593084
4,1.4789160707885871,-33340.70838714409,-33352.88629456409,-33353.287248566325
5,1.8486450884857342,-33340.37631917669,-33352.49944491194,-33352.90335412478
6,2.2183741061828814,-33340.02289186277,-33352.10410342145,-33352.51047868288
7,2.5881031238800274,-33339.69285875974,-33351.74013301406,-33352.14920333219
8,2.9578321415771733,-33339.4022034911,-33351.41973967663,-33351.831941163924
9,3.327561159274324,-33339.15382128572,-33351.143672293954,-33351.5593011057
10,3.6972901769714674,-33338.94466170957,-33350.90868407061,-33351.3277754711
11,4.067019194668616,-33338.76929129032,-33350.71015219797,-33351.13253587034
12,4.436748212365763,-33338.622015122295,-33350.54314912679,-33350.968550433616
13,4.806477230062909,-33338.4979772382,-33350.40311568805,-33350.831215788836
14,5.176206247760057,-33338.39334098439,-33350.28602391558,-33350.7164961044
15,5.545935265457203,-33338.30496929699,-33350.188223813966,-33350.62075342287
16,5.91566428315435,-33338.230106243405,-33350.10630948844,-33350.5406142864
17,6.285393300851497,-33338.16628917994,-33350.03719448553,-33350.47303529654
18,6.655122318548643,-33338.111412804195,-33349.978281623655,-33350.41546136366
19,7.024851336245792,-33338.06379359258,-33349.92752716611,-33350.36587739694
20,7.394580353942939,-33338.02215482698,-33349.883447905915,-33350.32282053118
21,7.764309371640084,-33337.98555088049,-33349.84496839697,-33350.28522617764
22,8.13403838933723,-33337.95326728863,-33349.81129034031,-33350.25230350077
23,8.503767407034378,-33337.924734614535,-33349.78177857219,-33350.223425222575
